ID,P1_Pre,P2_Pre,P3_Pre,P4_Pre,P5_Pre,P6_Pre,P7_Pre,P8_Pre,P9_Pre,P10_Pre,P11_Pre,P12_Pre,P13_Pre,P14_Pre,P15_Pre,P16_Pre,P17_Pre,P18_Pre,P19_Pre,P20_Pre,P1_Post,P2_Post,P3_Post,P4_Post,P5_Post,P6_Post,P7_Post,P8_Post,P9_Post,P10_Post,P11_Post,P12_Post,P13_Post,P14_Post,P15_Post,P16_Post,P17_Post,P18_Post,P19_Post,P20_Post
1,1,7,4,3,1,3,4,1,1,6,3,2,2,4,7,2,2,7,2,1,1,7,4,4,1,1,5,2,1,6,3,1,1,4,7,2,1,7,2,1
2,1,7,1,1,1,1,7,1,1,1,4,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,7,1,1
3,3,7,2,2,2,3,4,4,2,3,4,6,2,2,7,4,4,7,7,1,1,7,1,1,1,1,6,2,1,2,7,6,1,1,7,4,2,7,2,1
4,4,5,1,4,4,3,5,4,4,2,4,4,4,4,4,4,4,4,3,4,3,5,1,4,4,3,5,3,4,2,4,3,4,4,3,4,4,5,3,3
5,1,7,2,1,1,1,4,3,1,3,4,4,1,1,6,1,1,7,1,3,1,7,2,1,1,1,5,3,1,3,4,4,1,1,6,1,1,7,1,3
6,4,7,2,1,2,3,6,2,1,1,4,3,1,1,7,1,1,7,1,1,2,7,1,1,1,1,7,2,1,1,4,3,1,1,7,1,1,7,1,1
7,2,7,1,1,1,1,4,4,1,2,1,6,1,4,7,4,1,7,1,1,1,7,1,1,1,1,4,4,1,2,1,3,1,4,7,4,1,7,1,1
8,1,7,1,1,1,1,5,1,1,1,3,1,1,2,3,1,1,7,1,1,1,7,1,1,1,1,5,1,1,1,3,1,1,2,3,1,1,7,1,1
9,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,1
10,1,7,6,1,2,1,4,2,1,3,3,3,1,1,7,7,1,7,1,1,1,7,5,1,1,1,6,2,1,3,1,3,1,1,7,7,1,7,1,1
11,1,7,1,4,7,1,7,3,1,5,4,7,1,2,7,1,2,7,1,1,1,7,4,1,7,1,7,1,1,1,1,4,1,1,7,1,1,7,1,1
12,1,7,1,1,1,1,7,2,1,2,1,3,1,1,6,2,1,7,1,1,1,7,1,1,1,1,7,2,1,1,1,2,1,1,5,2,1,7,1,1
13,1,7,3,6,1,1,4,2,1,2,2,2,1,4,7,1,1,7,3,1,1,7,3,7,1,1,5,1,1,3,1,1,1,3,7,1,1,7,2,1
14,1,7,1,1,1,1,6,7,1,1,1,2,1,2,7,1,1,7,2,1,1,7,1,1,1,1,7,7,1,1,1,2,1,2,7,1,1,7,1,1
15,3,7,3,3,1,1,4,2,1,1,2,4,1,1,4,4,1,7,2,1,2,7,2,1,1,2,6,1,1,1,1,4,1,2,4,4,1,7,1,1
16,2,7,1,1,2,1,5,1,1,2,3,5,1,3,3,1,2,7,3,1,2,7,1,1,2,1,6,1,1,1,2,6,1,2,3,1,1,7,2,1
17,7,5,4,4,4,7,5,5,2,1,3,2,2,1,7,1,2,7,1,4,4,7,4,1,3,5,5,3,1,1,2,4,1,1,7,1,1,7,1,4
18,1,7,1,1,1,2,7,2,1,1,4,6,1,1,7,4,1,7,1,1,1,7,1,1,1,2,7,2,1,1,1,6,1,1,7,4,0,7,1,1
19,3,7,2,1,1,4,5,3,1,2,2,3,1,1,7,1,1,7,1,2,3,7,2,1,1,4,5,3,1,2,2,3,1,1,7,1,1,7,1,2
20,7,7,4,1,4,4,2,4,1,1,7,1,2,1,7,1,4,7,1,3,7,7,3,1,6,3,5,4,1,1,4,1,1,1,7,1,4,7,1,4
21,1,7,1,7,1,1,7,1,1,1,1,3,1,1,1,1,1,7,1,1,1,7,1,7,1,1,7,1,1,1,1,1,1,1,1,1,1,7,1,1
22,7,7,4,1,1,4,4,4,1,7,7,4,1,1,7,4,4,7,1,2,7,7,4,1,1,4,4,4,1,7,7,4,1,1,7,4,4,7,1,2
23,1,7,2,1,1,1,3,6,1,5,1,3,2,1,6,7,1,7,2,1,1,7,2,1,1,1,3,6,1,5,1,3,2,1,6,7,1,7,2,1
24,4,6,3,2,2,1,7,5,1,2,4,5,2,3,4,2,5,7,5,2,3,7,2,1,1,1,7,6,1,1,7,3,1,4,6,1,4,7,4,3
25,2,7,1,1,1,4,4,4,1,1,4,4,1,1,7,1,1,7,1,1,1,7,1,1,1,4,4,4,1,1,4,4,1,1,7,1,1,7,1,1
26,1,7,1,1,1,1,4,1,1,1,4,1,1,1,7,1,1,7,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,7,1,1
27,1,7,1,1,1,1,4,2,1,1,1,4,1,1,7,1,1,7,1,1,1,7,1,1,1,1,6,1,1,1,1,4,1,1,7,1,1,7,1,1
28,1,7,1,1,1,1,7,7,1,1,1,2,1,1,1,1,1,7,1,1,1,7,1,1,1,1,7,7,1,1,2,1,1,1,1,1,1,7,1,1
29,2,7,1,1,1,3,4,4,1,2,5,4,2,1,7,2,1,7,1,1,1,7,1,1,1,1,6,1,1,1,7,,1,1,7,1,1,7,1,1
30,2,7,1,1,1,2,6,1,1,1,2,2,1,1,7,1,1,7,1,1,2,7,1,1,1,2,7,1,1,1,2,2,1,1,7,1,1,7,1,1
31,2,7,3,1,1,1,5,3,1,2,1,2,1,4,3,1,1,7,1,1,2,7,1,1,1,1,7,4,1,1,1,1,1,4,4,1,1,7,1,1
